节点名称	算法分层层数	人工评审层级
acl	2	2
anolis-release	1	1
attr	1	2
audit	2	2
basesystem	2	1
bash	2	2
bzip2	2	2
ca-certificates	2	3
chkconfig	2	2
coreutils	2	1
cracklib	2	2
crypto-policies	1	2
cryptsetup	1	2
dbus	2	2
device-mapper-persistent-data	2	2
e2fsprogs	2	2
elfutils	1	2
expat	2	2
filesystem	2	1
findutils	2	2
fuse	2	2
gawk	2	2
gcc	2	1
glib2	2	2
glibc	2	1
gmp	2	2
gnutls	2	2
grep	2	2
gzip	2	2
hwdata	1	2
initscripts	2	2
iptables	2	2
json-c	2	3
keyutils	2	2
kmod	2	2
krb5	1	1
libaio	2	2
libcap	2	2
libcap-ng	2	2
libdb	2	2
libffi	2	2
libgcrypt	2	2
libgpg-error	2	2
libidn2	2	2
libmnl	2	2
libnetfilter_conntrack	2	2
libnfnetlink	2	2
libnftnl	2	2
libnl3	2	2
libnsl2	2	2
libpcap	2	2
libpwquality	2	2
libseccomp	2	2
libselinux	2	2
libsemanage	2	2
libsepol	2	2
libsigsegv	2	2
libtasn1	2	2
libtirpc	2	2
libunistring	2	3
libutempter	2	2
libverto	2	2
libxcrypt	2	2
logrotate	2	2
lvm2	3	2
lz4	1	2
mpfr	2	2
ncurses	2	2
nettle	2	2
openssl	2	2
openssl-pkcs11	2	2
p11-kit	2	2
pam	2	2
pciutils	2	2
pcre	2	2
pcre2	2	2
popt	2	2
procps-ng	2	2
rdma-core	2	2
readline	2	2
sed	2	2
setup	2	1
shadow-utils	2	2
systemd	2	1
texinfo	1	3
util-linux	2	2
which	2	2
xz	2	2
zlib	2	2
