包名	算法分层层数	现人工分层层数
glibc	2	1
basesystem	2	1
filesystem	2	1
setup	2	1
coreutils	2	1
ca-certificates	2	2
texinfo	2	3
krb5	2	2
gcc	2	1
systemd	2	1
json-c	2	3
libunistring	2	3
gmp	2	2
bash	2	2
libselinux	2	2
ncurses	2	2
pcre2	2	2
libsepol	2	2
chkconfig	2	2
openssl	2	2
bzip2	2	2
libxcrypt	2	2
expat	2	2
libffi	2	2
xz	2	2
libnsl2	2	2
readline	2	2
libtirpc	2	3
zlib	2	2
popt	2	2
crypto-policies	2	2
grep	2	2
e2fsprogs	2	2
util-linux	2	2
fuse	2	2
gawk	2	3
keyutils	2	2
libverto	2	2
sed	2	3
acl	2	2
attr	2	2
libcap	2	2
mpfr	2	2
libsigsegv	2	2
pcre	2	2
anolis-release	1	1
pam	2	2
audit	2	2
libcap-ng	2	2
libutempter	2	2
which	2	2
cracklib	2	2
libdb	2	2
libpwquality	2	2
initscripts	2	2
shadow-utils	2	2
dbus	2	2
cryptsetup	2	2
elfutils	2	2
libgcrypt	2	2
gnutls	2	2
libgpg-error	2	2
libidn2	2	2
kmod	2	2
lz4	2	2
libseccomp	2	2
libsemanage	2	2
lvm2	2	2
nettle	2	2
p11-kit	2	2
libtasn1	2	2
device-mapper-persistent-data	2	2
libaio	2	2
findutils	2	2
glib2	2	2
procps-ng	2	2
gzip	2	2
tzdata	1	2
python3	2	2
python-setuptools	2	2
python-pip	2	2
gdbm	2	2
sqlite	2	2
zstd	2	2
abattis-cantarell-fonts	2	3
fontpackages	1	3
perl	3	2
perl-Carp	3	3
perl-Exporter	3	3
perl-PathTools	3	3
perl-Socket	3	3
perl-File-Path	3	3
perl-Scalar-List-Utils	3	3
perl-Text-Tabs+Wrap	3	3
perl-Unicode-Normalize	3	3
perl-constant	3	3
perl-parent	3	3
perl-threads	3	3
perl-threads-shared	3	3
perl-Encode	3	3
perl-Getopt-Long	3	3
perl-MIME-Base64	3	3
perl-Storable	3	3
perl-Pod-Usage	3	3
perl-Text-ParseWords	3	3
perl-podlators	3	3
perl-Pod-Perldoc	3	3
perl-Pod-Simple	3	3
perl-Term-ANSIColor	3	3
perl-Term-Cap	3	3
groff	3	3
perl-File-Temp	3	3
perl-HTTP-Tiny	3	3
perl-Time-Local	3	3
perl-Pod-Escapes	3	3
libtiff	3	3
jbigkit	3	3
libjpeg-turbo	3	3
libwebp	3	3
nginx	3	4
gd	3	4
libxslt	3	4
libxml2	3	3
libX11	3	4
libXpm	3	4
fontconfig	3	4
freetype	3	4
libpng	3	3
libxcb	3	4
aajohan-comfortaa-fonts	1	4
libXau	3	4
authselect	3	2
bash-completion	3	3
pkgconf	1	2
