包名	算法分层层数	现人工分层层数
glibc	2	1
basesystem	2	1
filesystem	2	1
setup	2	1
coreutils	2	1
ca-certificates	2	2
texinfo	2	3
krb5	2	2
gcc	2	1
systemd	2	1
json-c	2	3
libunistring	2	3
logrotate	3	2
mpfr	2	2
gmp	2	2
bash	2	2
libselinux	2	2
ncurses	2	2
pcre2	2	2
libsepol	2	2
chkconfig	2	2
openssl	2	2
bzip2	2	2
libxcrypt	2	2
expat	2	2
libffi	2	2
xz	2	2
libnsl2	2	2
readline	2	2
libtirpc	2	3
zlib	2	2
popt	2	2
crypto-policies	2	2
grep	2	2
e2fsprogs	2	2
util-linux	2	2
fuse	2	2
gawk	2	3
keyutils	2	2
libverto	2	2
sed	2	3
acl	2	2
attr	2	2
libcap	2	2
libsigsegv	2	2
pcre	2	2
anolis-release	1	1
pam	2	2
audit	2	2
libcap-ng	2	2
libutempter	2	3
which	2	2
cracklib	2	2
libdb	2	2
libpwquality	2	2
initscripts	2	2
shadow-utils	2	2
dbus	2	2
cryptsetup	2	2
elfutils	2	2
libgcrypt	2	2
gnutls	2	2
libgpg-error	2	2
libidn2	2	2
kmod	2	2
lz4	2	2
libseccomp	2	2
libsemanage	2	2
lvm2	2	2
nettle	2	2
p11-kit	2	2
libtasn1	2	2
device-mapper-persistent-data	2	2
libaio	2	2
findutils	2	2
glib2	2	2
procps-ng	2	2
gzip	2	2
tzdata	1	2
python3	2	2
python-setuptools	2	2
python-pip	2	2
gdbm	2	2
bash-completion	3	3
pkgconf	1	2
authselect	3	2
redis	3	3
